time,volume,price
2019-05-06 09:30:00+00:00,5.00000,1.11911
2019-05-06 09:35:00+00:00,9.00000,1.11922
2019-05-06 09:40:00+00:00,23.00000,1.11951
2019-05-06 09:45:00+00:00,5.00000,1.11945
2019-05-06 09:50:00+00:00,14.00000,1.11932
2019-05-06 09:55:00+00:00,7.00000,1.11942
2019-05-06 10:00:00+00:00,49.00000,1.11946
2019-05-06 10:05:00+00:00,5.00000,1.11941
2019-05-06 10:10:00+00:00,11.00000,1.11938
2019-05-06 10:15:00+00:00,12.00000,1.11936
2019-05-06 10:20:00+00:00,8.00000,1.11921
2019-05-06 10:25:00+00:00,16.00000,1.11902
2019-05-06 10:30:00+00:00,10.00000,1.11935
2019-05-06 10:35:00+00:00,9.00000,1.11938
2019-05-06 10:40:00+00:00,4.00000,1.11951
2019-05-06 10:45:00+00:00,11.00000,1.11982
2019-05-06 10:50:00+00:00,13.00000,1.11979
2019-05-06 10:55:00+00:00,11.00000,1.11983
2019-05-06 11:00:00+00:00,2.00000,1.11992
2019-05-06 11:05:00+00:00,20.00000,1.11996
2019-05-06 11:10:00+00:00,15.00000,1.11997
2019-05-06 11:15:00+00:00,32.00000,1.12016
2019-05-06 11:20:00+00:00,29.00000,1.12024
2019-05-06 11:25:00+00:00,12.00000,1.12026
2019-05-06 11:30:00+00:00,6.00000,1.12003
2019-05-06 11:35:00+00:00,7.00000,1.11982
2019-05-06 11:40:00+00:00,6.00000,1.11998
2019-05-06 11:45:00+00:00,10.00000,1.11993
2019-05-06 11:50:00+00:00,7.00000,1.11993
2019-05-06 11:55:00+00:00,6.00000,1.11991
2019-05-06 12:00:00+00:00,13.00000,1.12032
2019-05-06 12:05:00+00:00,15.00000,1.12009
2019-05-06 12:10:00+00:00,6.00000,1.11991
2019-05-06 12:15:00+00:00,24.00000,1.11958
2019-05-06 12:20:00+00:00,10.00000,1.11956
2019-05-06 12:25:00+00:00,4.00000,1.11958
2019-05-06 12:30:00+00:00,18.00000,1.11948
2019-05-06 12:35:00+00:00,10.00000,1.11954
2019-05-06 12:40:00+00:00,50.00000,1.11866
2019-05-06 12:45:00+00:00,27.00000,1.11842
2019-05-06 12:50:00+00:00,3.00000,1.11843
2019-05-06 12:55:00+00:00,7.00000,1.11843
2019-05-06 13:00:00+00:00,25.00000,1.11850
2019-05-06 13:05:00+00:00,30.00000,1.11834
2019-05-06 13:10:00+00:00,14.00000,1.11846
2019-05-06 13:15:00+00:00,10.00000,1.11852
2019-05-06 13:20:00+00:00,9.00000,1.11851
2019-05-06 13:25:00+00:00,6.00000,1.11863
2019-05-06 13:30:00+00:00,12.00000,1.11891
2019-05-06 13:35:00+00:00,28.00000,1.11862
2019-05-06 13:40:00+00:00,18.00000,1.11879
2019-05-06 13:45:00+00:00,16.00000,1.11911
2019-05-06 13:50:00+00:00,11.00000,1.11921
2019-05-06 13:55:00+00:00,39.00000,1.11923
2019-05-06 14:00:00+00:00,11.00000,1.11908
2019-05-06 14:05:00+00:00,6.00000,1.11928
2019-05-06 14:10:00+00:00,6.00000,1.11901
2019-05-06 14:15:00+00:00,11.00000,1.11885
2019-05-06 14:20:00+00:00,12.00000,1.11893
2019-05-06 14:25:00+00:00,17.00000,1.11922
2019-05-06 14:30:00+00:00,12.00000,1.11906
2019-05-06 14:35:00+00:00,13.00000,1.11918
2019-05-06 14:40:00+00:00,15.00000,1.11917
2019-05-06 14:45:00+00:00,22.00000,1.11887
2019-05-06 14:50:00+00:00,13.00000,1.11881
2019-05-06 14:55:00+00:00,36.00000,1.11974
2019-05-06 15:00:00+00:00,7.00000,1.11931
2019-05-06 15:05:00+00:00,26.00000,1.11915
2019-05-06 15:10:00+00:00,19.00000,1.11959
2019-05-06 15:15:00+00:00,12.00000,1.11960
2019-05-06 15:20:00+00:00,11.00000,1.11975
2019-05-06 15:25:00+00:00,9.00000,1.11983
2019-05-06 15:30:00+00:00,29.00000,1.11955
2019-05-06 15:35:00+00:00,17.00000,1.11977
2019-05-06 15:40:00+00:00,7.00000,1.11957
2019-05-06 15:45:00+00:00,8.00000,1.11968
2019-05-06 15:50:00+00:00,30.00000,1.11983
2019-05-06 15:55:00+00:00,6.00000,1.11973
2019-05-06 16:00:00+00:00,12.00000,1.11975
2019-05-06 16:05:00+00:00,14.00000,1.11998
2019-05-06 16:10:00+00:00,18.00000,1.11986
2019-05-06 16:15:00+00:00,15.00000,1.12027
2019-05-06 16:20:00+00:00,12.00000,1.11997
2019-05-06 16:25:00+00:00,14.00000,1.12007
2019-05-06 16:30:00+00:00,19.00000,1.12012
2019-05-06 16:35:00+00:00,8.00000,1.12023
2019-05-06 16:40:00+00:00,2.00000,1.12013
2019-05-06 16:45:00+00:00,10.00000,1.12007
2019-05-06 16:50:00+00:00,2.00000,1.12017
2019-05-06 16:55:00+00:00,11.00000,1.12037
2019-05-06 17:00:00+00:00,13.00000,1.12074
2019-05-06 17:05:00+00:00,4.00000,1.12072
2019-05-06 17:10:00+00:00,21.00000,1.12091
2019-05-06 17:15:00+00:00,4.00000,1.12090
2019-05-06 17:20:00+00:00,8.00000,1.12071
2019-05-06 17:25:00+00:00,2.00000,1.12063
2019-05-06 17:30:00+00:00,6.00000,1.12066
2019-05-06 17:35:00+00:00,1.00000,1.12065
2019-05-06 17:40:00+00:00,7.00000,1.12059
2019-05-06 17:45:00+00:00,7.00000,1.12056
2019-05-06 17:50:00+00:00,18.00000,1.12050
2019-05-06 17:55:00+00:00,6.00000,1.12047
2019-05-06 18:00:00+00:00,4.00000,1.12050
2019-05-06 18:05:00+00:00,2.00000,1.12060
2019-05-06 18:10:00+00:00,1.00000,1.12060
2019-05-06 18:15:00+00:00,5.00000,1.12060
2019-05-06 18:20:00+00:00,4.00000,1.12058
2019-05-06 18:25:00+00:00,7.00000,1.12059
2019-05-06 18:30:00+00:00,4.00000,1.12020
2019-05-06 18:35:00+00:00,11.00000,1.12050
2019-05-06 18:40:00+00:00,2.00000,1.12041
2019-05-06 18:45:00+00:00,20.00000,1.12040
2019-05-06 18:50:00+00:00,7.00000,1.12035
2019-05-06 18:55:00+00:00,15.00000,1.12042
2019-05-06 19:00:00+00:00,4.00000,1.12056
2019-05-06 19:05:00+00:00,9.00000,1.12051
2019-05-06 19:10:00+00:00,3.00000,1.12050
2019-05-06 19:15:00+00:00,11.00000,1.12045
2019-05-06 19:20:00+00:00,7.00000,1.12046
2019-05-06 19:25:00+00:00,10.00000,1.12051
2019-05-06 19:30:00+00:00,1.00000,1.12052
2019-05-06 19:35:00+00:00,2.00000,1.12047
2019-05-06 19:40:00+00:00,2.00000,1.12041
2019-05-06 19:45:00+00:00,1.00000,1.12050
2019-05-06 19:50:00+00:00,4.00000,1.12042
2019-05-06 19:55:00+00:00,1.00000,1.12021
2019-05-06 20:00:00+00:00,1.00000,1.12016
2019-05-06 20:05:00+00:00,5.00000,1.12016
2019-05-06 20:10:00+00:00,4.00000,1.12016
2019-05-06 20:15:00+00:00,4.00000,1.12026
2019-05-06 20:20:00+00:00,1.00000,1.12020
2019-05-06 20:25:00+00:00,7.00000,1.12018
2019-05-06 20:30:00+00:00,1.00000,1.12023
2019-05-06 20:35:00+00:00,2.00000,1.12013
2019-05-06 20:40:00+00:00,8.00000,1.12006
2019-05-06 20:45:00+00:00,7.00000,1.12003
2019-05-06 20:50:00+00:00,2.00000,1.12001
2019-05-06 20:55:00+00:00,13.00000,1.12011
2019-05-06 21:00:00+00:00,19.00000,1.11963
2019-05-06 21:05:00+00:00,5.00000,1.12001
2019-05-06 21:10:00+00:00,3.00000,1.11999
2019-05-06 21:15:00+00:00,4.00000,1.11992
2019-05-06 21:20:00+00:00,7.00000,1.11962
2019-05-06 21:25:00+00:00,3.00000,1.11959
2019-05-06 21:30:00+00:00,22.00000,1.11937
2019-05-06 21:35:00+00:00,4.00000,1.11970
2019-05-06 21:40:00+00:00,1.00000,1.11957
2019-05-06 21:45:00+00:00,4.00000,1.11965
2019-05-06 21:50:00+00:00,1.00000,1.11966
